epoch,qasr_audio_files_done,qasr_segments_emitted,masc_shards_done
1784220895,450,204496,143
1784220925,500,229303,159
1784220955,550,250444,174
1784220985,600,271014,190
1784221015,650,292579,207
1784221045,700,313080,224
1784221075,750,333956,238
1784221105,800,354875,253
1784221135,825,365939,263
1784221165,825,365939,263
1784221196,825,365939,264
1784221226,825,365939,264
1784221256,825,365939,264
1784221286,825,365939,265
1784221316,825,365939,265
1784221346,825,365939,265
1784221376,825,365939,266
1784221407,825,365939,266
1784221437,825,365939,267
1784221467,825,365939,267
1784221497,825,365939,268
1784221527,825,365939,268
1784221557,825,365939,269
1784221587,825,365939,269
1784221617,825,365939,269
1784221647,825,365939,270
1784221677,825,365939,270
1784221708,825,365939,271
1784221738,825,365939,271
1784221768,875,388086,282
1784221798,925,410121,297
1784221828,950,419290,312
1784221858,950,419290,329
1784221888,950,419290,345
1784221918,950,419290,361
1784221948,950,419290,377
1784221978,950,419290,387
1784222008,950,419290,388
1784222038,950,419290,388
1784222068,950,419290,389
1784222098,950,419290,389
1784222128,950,419290,390
1784222158,950,419290,390
1784222189,950,419290,391
1784222219,950,419290,391
1784222249,950,419290,392
1784222279,950,419290,392
1784222309,950,419290,392
1784222339,950,419290,393
1784222369,950,419290,394
1784222399,950,419290,394
1784222429,950,419290,395
1784222459,950,419290,395
1784222489,950,419290,396
1784222519,950,419290,396
1784222550,950,419290,397
