[2026-07-30 14:43:22] START cleaning
[2026-07-30 14:43:22] Input files: 304
[2026-07-30 14:43:22] Output root: /workspace/asr/Palestinian-ASR/data_cleaned_text_qasr_part2_v1
[2026-07-30 14:43:22] FILE 1/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000000.arrow
[2026-07-30 14:43:26] FILE 2/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000001.arrow
[2026-07-30 14:43:32] FILE 3/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000002.arrow
[2026-07-30 14:43:39] FILE 4/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000003.arrow
[2026-07-30 14:43:45] FILE 5/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000004.arrow
[2026-07-30 14:43:50] FILE 6/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000005.arrow
[2026-07-30 14:43:56] FILE 7/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000006.arrow
[2026-07-30 14:44:02] FILE 8/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000007.arrow
[2026-07-30 14:44:07] FILE 9/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000008.arrow
[2026-07-30 14:44:12] FILE 10/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000009.arrow
[2026-07-30 14:44:18] FILE 11/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000010.arrow
[2026-07-30 14:44:23] FILE 12/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000011.arrow
[2026-07-30 14:44:29] FILE 13/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000012.arrow
[2026-07-30 14:44:34] FILE 14/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000013.arrow
[2026-07-30 14:44:39] PROGRESS rows=53,538 kept=50,412 dropped=3,126 rows/sec=695.6
[2026-07-30 14:44:39] FILE 15/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000014.arrow
[2026-07-30 14:44:43] FILE 16/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000015.arrow
[2026-07-30 14:44:49] FILE 17/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000016.arrow
[2026-07-30 14:44:55] FILE 18/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000017.arrow
[2026-07-30 14:45:01] FILE 19/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000018.arrow
[2026-07-30 14:45:07] FILE 20/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000019.arrow
[2026-07-30 14:45:13] FILE 21/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000020.arrow
[2026-07-30 14:45:18] FILE 22/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000021.arrow
[2026-07-30 14:45:24] FILE 23/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000022.arrow
[2026-07-30 14:45:30] FILE 24/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000023.arrow
[2026-07-30 14:45:35] FILE 25/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000024.arrow
[2026-07-30 14:45:42] FILE 26/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000025.arrow
[2026-07-30 14:45:46] FILE 27/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000026.arrow
[2026-07-30 14:45:52] PROGRESS rows=103,554 kept=97,546 dropped=6,008 rows/sec=687.9
[2026-07-30 14:45:52] FILE 28/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000027.arrow
[2026-07-30 14:45:58] FILE 29/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000028.arrow
[2026-07-30 14:46:04] FILE 30/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000029.arrow
[2026-07-30 14:46:09] FILE 31/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000030.arrow
[2026-07-30 14:46:13] FILE 32/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000031.arrow
[2026-07-30 14:46:18] FILE 33/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000032.arrow
[2026-07-30 14:46:24] FILE 34/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000033.arrow
[2026-07-30 14:46:29] FILE 35/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000034.arrow
[2026-07-30 14:46:33] FILE 36/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000035.arrow
[2026-07-30 14:46:38] FILE 37/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000036.arrow
[2026-07-30 14:46:43] FILE 38/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000037.arrow
[2026-07-30 14:46:48] FILE 39/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000038.arrow
[2026-07-30 14:46:53] FILE 40/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000039.arrow
[2026-07-30 14:46:59] PROGRESS rows=154,177 kept=145,022 dropped=9,155 rows/sec=710.4
[2026-07-30 14:46:59] FILE 41/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000040.arrow
[2026-07-30 14:47:05] FILE 42/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000041.arrow
[2026-07-30 14:47:10] FILE 43/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000042.arrow
[2026-07-30 14:47:16] FILE 44/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000043.arrow
[2026-07-30 14:47:21] FILE 45/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000044.arrow
[2026-07-30 14:47:25] FILE 46/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000045.arrow
[2026-07-30 14:47:30] FILE 47/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000046.arrow
[2026-07-30 14:47:36] FILE 48/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000047.arrow
[2026-07-30 14:47:42] FILE 49/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000048.arrow
[2026-07-30 14:47:49] FILE 50/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000049.arrow
[2026-07-30 14:47:55] FILE 51/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000050.arrow
[2026-07-30 14:48:00] FILE 52/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000051.arrow
[2026-07-30 14:48:05] FILE 53/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000052.arrow
[2026-07-30 14:48:10] FILE 54/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000053.arrow
[2026-07-30 14:48:16] PROGRESS rows=207,730 kept=195,230 dropped=12,500 rows/sec=706.6
[2026-07-30 14:48:16] FILE 55/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000054.arrow
[2026-07-30 14:48:22] FILE 56/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000055.arrow
[2026-07-30 14:48:28] FILE 57/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000056.arrow
[2026-07-30 14:48:34] FILE 58/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000057.arrow
[2026-07-30 14:48:40] FILE 59/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000058.arrow
[2026-07-30 14:48:45] FILE 60/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000059.arrow
[2026-07-30 14:48:51] FILE 61/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000060.arrow
[2026-07-30 14:48:56] FILE 62/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000061.arrow
[2026-07-30 14:49:02] FILE 63/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000062.arrow
[2026-07-30 14:49:07] FILE 64/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000063.arrow
[2026-07-30 14:49:12] FILE 65/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000064.arrow
[2026-07-30 14:49:18] FILE 66/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000065.arrow
[2026-07-30 14:49:25] FILE 67/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000066.arrow
[2026-07-30 14:49:31] PROGRESS rows=259,029 kept=243,693 dropped=15,336 rows/sec=702.3
[2026-07-30 14:49:31] FILE 68/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000067.arrow
[2026-07-30 14:49:38] FILE 69/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000068.arrow
[2026-07-30 14:49:44] FILE 70/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000069.arrow
[2026-07-30 14:49:49] FILE 71/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000070.arrow
[2026-07-30 14:49:56] FILE 72/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000071.arrow
[2026-07-30 14:50:02] FILE 73/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000072.arrow
[2026-07-30 14:50:07] FILE 74/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000073.arrow
[2026-07-30 14:50:12] FILE 75/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000074.arrow
[2026-07-30 14:50:18] FILE 76/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000075.arrow
[2026-07-30 14:50:23] FILE 77/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000076.arrow
[2026-07-30 14:50:28] FILE 78/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000077.arrow
[2026-07-30 14:50:33] FILE 79/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000078.arrow
[2026-07-30 14:50:37] FILE 80/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000079.arrow
[2026-07-30 14:50:42] PROGRESS rows=310,355 kept=292,298 dropped=18,057 rows/sec=704.5
[2026-07-30 14:50:42] FILE 81/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000080.arrow
[2026-07-30 14:50:48] FILE 82/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000081.arrow
[2026-07-30 14:50:52] FILE 83/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000082.arrow
[2026-07-30 14:50:57] FILE 84/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000083.arrow
[2026-07-30 14:51:02] FILE 85/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000084.arrow
[2026-07-30 14:51:07] FILE 86/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000085.arrow
[2026-07-30 14:51:12] FILE 87/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000086.arrow
[2026-07-30 14:51:18] FILE 88/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000087.arrow
[2026-07-30 14:51:23] FILE 89/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000088.arrow
[2026-07-30 14:51:28] FILE 90/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000089.arrow
[2026-07-30 14:51:33] FILE 91/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000090.arrow
[2026-07-30 14:51:39] FILE 92/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000091.arrow
[2026-07-30 14:51:44] FILE 93/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000092.arrow
[2026-07-30 14:51:50] PROGRESS rows=360,509 kept=339,942 dropped=20,567 rows/sec=709.6
[2026-07-30 14:51:50] FILE 94/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000093.arrow
[2026-07-30 14:51:55] FILE 95/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000094.arrow
[2026-07-30 14:52:01] FILE 96/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000095.arrow
[2026-07-30 14:52:06] FILE 97/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000096.arrow
[2026-07-30 14:52:11] FILE 98/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000097.arrow
[2026-07-30 14:52:17] FILE 99/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000098.arrow
[2026-07-30 14:52:24] FILE 100/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000099.arrow
[2026-07-30 14:52:28] FILE 101/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000100.arrow
[2026-07-30 14:52:34] FILE 102/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000101.arrow
[2026-07-30 14:52:40] FILE 103/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000102.arrow
[2026-07-30 14:52:45] FILE 104/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000103.arrow
[2026-07-30 14:52:50] FILE 105/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000104.arrow
