block,source,speaker_key,rows_dual_scored,rows_text_total,hours,hours_audio_lev,text_mean_prob,text_full_vote_frac,text_full_vote_lb,audio_mean_prob,audio_vote_frac,audio_vote_lb,combined_prob,combined_vote_lb
train,masc_c,zZtR8YkiIkk,30,41,0.03689997222222223,0.03689997222222223,0.959475330511729,0.8292682926829268,0.6873709004537023,0.9778180340925853,1.0,0.886482908609522,0.9381922814413123,0.6093425551277442
train,qasr,60645756-8728-4C8F-9BD8-65E139BFE7D3,280,427,0.34521113888888866,0.2951889166666667,0.9413471543363162,0.7400468384074942,0.6964345936247087,0.8531178092912471,0.8607142857142858,0.8152564424799744,0.8030800220899476,0.5677727892184667
train,masc_c,YpmcfdBo9QM,27,31,0.03348333333333333,0.030549999999999994,0.9605841173066033,0.9032258064516129,0.7509971000182296,0.8949456978847997,0.8888888888888888,0.7194181745602704,0.8596706232400124,0.5402809627951716
train,masc_c,DRZnGvIoxaE,24,35,0.027299999999999998,0.02652777777777778,0.9811752339204153,0.8,0.6410806339053748,0.9070407872398695,0.9583333333333334,0.7975777375115778,0.8899659565954365,0.511311641552737
train,masc_c,LdX2rcnMZGY,12,30,0.008666666666666666,0.007977777777777776,0.9619791309038798,0.9333333333333333,0.7867618227892791,0.8931261391068498,0.9166666666666666,0.6461140782014047,0.8591687070855449,0.508337889895552
train,masc_c,N7xNOHO9rkM,19,29,0.016088888888888885,0.014461111111111109,0.9839263558387756,0.896551724137931,0.7361455275293085,0.8844179017469287,0.8947368421052632,0.6860544950515831,0.8702020831044319,0.505035948173601
train,masc_c,zgPxPT5llDs,31,56,0.025016666666666663,0.02225,0.979495890678898,0.8214285714285714,0.7015856902425105,0.9139359843346381,0.8709677419354839,0.7114724304561464,0.8951965409993516,0.49915887621009203
train,qasr,CEFDF773-B3E6-4EDA-A107-7C7009131D31,322,501,0.39651952777777816,0.31680005555555574,0.9467000757685359,0.7225548902195609,0.6817673343939589,0.7670065686630912,0.7763975155279503,0.7277805398551943,0.7261251766683132,0.49617699868087217
train,masc_c,csazmn8mfsM,27,49,0.0201,0.01626111111111111,0.9327367146809896,0.9183673469387755,0.8081061295851386,0.7739090966405692,0.7777777777777778,0.5924270453692919,0.721853428262257,0.4787439266949378
train,masc_c,aoPKcxkMlYc,18,42,0.012605583333333333,0.012011111111111111,0.9260849787129296,0.7857142857142857,0.6405986210195627,0.9182492119208392,0.9444444444444444,0.7424220019799247,0.8503768018748747,0.4755945106829228
train,masc_c,0RW6Sgy7nJs,16,21,0.013633333333333332,0.013044444444444445,0.8576294668018818,0.8571428571428571,0.6536350585077049,0.8758043958805501,0.9375,0.7167073163197013,0.7511156570617804,0.4684650286355281
train,masc_c,4WbeJnKs5oA,17,24,0.015038861111111107,0.01439997222222222,0.9731183437740102,0.8333333333333334,0.6414652961213058,0.8914769850671291,0.9411764705882353,0.730174547964372,0.8675126072211727,0.46838163263020643
train,masc_c,xnXsxRVOtQU,43,63,0.05553333333333333,0.050883333333333336,0.9319869765015536,0.7142857142857143,0.5929704958526203,0.8696173203372678,0.9069767441860465,0.7839701160146731,0.8104720170945132,0.464871148426857
train,masc_c,G0_LEW-YLzw,11,19,0.01065,0.01065,0.95898898081346,0.8421052631578947,0.6243407235682331,0.9585172750733115,1.0,0.7411599827511859,0.9192075047146498,0.46273635991069456
train,masc_c,eUDCS-T1umM,37,46,0.048400000000000006,0.03825555555555556,0.9536989798416963,0.8260869565217391,0.6927636765607748,0.7711566329439724,0.8108108108108109,0.6579498842904441,0.7354512941368239,0.45580378083378437
train,masc_c,ywcL4F4t050,17,42,0.011716666666666665,0.010188888888888888,0.9806052796980914,0.8333333333333334,0.6939570379522572,0.8753811700050446,0.8823529411764706,0.6566315750229009,0.8584033970552393,0.45567410282881765
train,masc_c,s_FuQQS0-yU,20,35,0.017283333333333335,0.015488888888888885,0.8884862244129181,0.8,0.6410806339053748,0.8744892598828301,0.9,0.6989617935882066,0.7769716608029429,0.4480908697091653
train,masc_c,8wyz6rRlGRM,24,32,0.030861111111111113,0.02693888888888889,0.9577793454130491,0.8125,0.6469050424507756,0.8540278220316395,0.875,0.6899571185214244,0.8179702083499957,0.4463367390463169
train,masc_c,sZ8NIz_BAYs,30,42,0.025872194444444448,0.02103333333333333,0.9196713944276174,0.8333333333333334,0.6939570379522572,0.7820101713761687,0.8,0.6269395261897257,0.719192384766101,0.43506909656981363
train,masc_c,0OUv-LIOe5Q,22,28,0.024200055555555558,0.020677833333333336,0.9725319390947168,0.8214285714285714,0.644082084514089,0.8246482865546237,0.8636363636363636,0.6666458812053,0.8019967971941039,0.42937466879944136
train,masc_c,_r558PWcKRM,26,33,0.03462222222222222,0.027394444444444443,0.9480926738335536,0.8484848484848485,0.6907978686153953,0.8116042969945388,0.8076923076923077,0.6212336384535001,0.7694760880323539,0.42914687335586493
train,masc_c,wbcs4ggCD0Q,30,39,0.04057772222222221,0.03369994444444444,0.9582765400409698,0.7948717948717948,0.6446572703687137,0.8526026089054842,0.8333333333333334,0.6643529481431982,0.8170290780918517,0.42827995811140174
train,masc_c,uR_Ii6B1_To,16,22,0.014899999999999997,0.013205555555555555,0.9588021710515022,0.8636363636363636,0.6666458812053,0.8734372351318598,0.875,0.6397666856325172,0.8374535173216486,0.42649782590928353
train,qasr,4DBD0D76-3106-47EF-8D74-FB01E24B66E1,286,547,0.34208619444444427,0.2975917499999999,0.9381548683126489,0.5722120658135283,0.5303877486496156,0.8254408137819899,0.8426573426573427,0.7959501071592258,0.7743913179535284,0.422162185373602
train,masc_c,RPhDmITwGII,74,117,0.08347222222222225,0.06464447222222221,0.9585709757096058,0.717948717948718,0.6304874095354095,0.7425767682599709,0.7702702702702703,0.6625347073337732,0.7118125372902461,0.4177197913541713
train,masc_c,3Yrh0K6L-HY,62,90,0.08131116666666666,0.06304449999999999,0.9297966880183066,0.7333333333333333,0.6337996218328292,0.7616529267904679,0.7741935483870968,0.6559414245921726,0.7081823687492268,0.4157354268510063
train,masc_c,lNcis1IgBSo,40,62,0.050161111111111115,0.04466666666666667,0.9515791699290276,0.6774193548387096,0.5536785443578454,0.8312718169530854,0.875,0.7388757932976185,0.7910209455616115,0.4090996736942737
train,masc_c,d9drje-fXz4,29,41,0.027994500000000005,0.022655611111111112,0.9364715958463734,0.8048780487804879,0.6598611764744329,0.8036332436885428,0.7931034482758621,0.6160955339174229,0.7525797061922072,0.4065375238313945
train,masc_c,JJbWyNwTcpw,25,38,0.03037222222222222,0.026605555555555556,0.9901985263824463,0.7368421052631579,0.5799084979362467,0.8943043995648623,0.88,0.7004380781662651,0.8855388985864651,0.40618999380675014
train,masc_c,p9Nki0oL0RY,19,22,0.027677777777777777,0.021988888888888884,0.9612521435085096,0.9545454545454546,0.7820151050048196,0.7392776685913927,0.7368421052631579,0.5120803155892935,0.7106322435814498,0.4004545417664625
train,masc_c,IEgg3A2Oztg,18,37,0.013222277777777777,0.011177833333333333,0.9762930108441247,0.8108108108108109,0.6579498842904441,0.8623970115246872,0.8333333333333334,0.6077750036164077,0.8419521749244121,0.39988549330403966
