block,source,speaker_key,rows_dual_scored,rows_both_agree,rows_text_total,hours,hours_audio_lev,hours_both_agree,text_mean_prob,text_full_vote_frac,text_full_vote_lb,audio_mean_prob,audio_vote_frac,audio_vote_lb,audio_prob_sd,align_frac,align_lb,score_sum,score_product,score_sum_align,score_product_align,combined_vote_lb
train,masc_c,K6zLr-7hbxQ,13,13,23,0.011127777777777778,0.011127777777777778,0.011127777777777778,0.9603904990049509,0.6086956521739131,0.40785179603745997,0.9906583107434787,1.0,0.7718981569447084,0.022719278051562125,1.0,0.7718981569447084,0.9755244048742148,0.9514188293983311,0.7530054901769899,0.7343984408950638,0.3148200496679045
train,masc_c,MMAkUyiaWSQ,12,12,26,0.010616833333333332,0.010616833333333332,0.010616833333333332,0.9466817875703176,0.6153846153846154,0.4253452003942009,0.9935483435789744,1.0,0.7574992425007574,0.00634531202792252,1.0,0.7574992425007574,0.970115065574646,0.9405741219368715,0.7348614273113669,0.7124841848829951,0.32219866709994
val,masc_c,zZtR8YkiIkk,30,27,41,0.03689997222222223,0.03689997222222223,0.03482219444444445,0.959475330511729,0.8292682926829268,0.6873709004537023,0.9778180340925853,1.0,0.886482908609522,0.0805243310900773,0.9,0.7437855868473338,0.9686466823021571,0.9381922814413123,0.7204654410438328,0.6978138966274654,0.6093425551277442
train,masc_c,z2KmNtjMfIo,9,9,14,0.011271944444444442,0.011271944444444442,0.011271944444444442,0.9849538736873202,0.7142857142857143,0.4535045882751561,0.9970877766609192,1.0,0.7008472464490406,0.0006864523162483624,1.0,0.7008472464490406,0.9910208251741197,0.98208546802845,0.6945542164969378,0.6882918960453565,0.317837441944649
train,masc_c,-7Sym-JtoLQ,8,8,15,0.007655555555555555,0.007655555555555555,0.007655555555555555,0.9423636719584465,0.5333333333333333,0.3011663015105079,0.9955852255225182,1.0,0.6755843804891231,0.003485670151423255,1.0,0.6755843804891231,0.9689744487404823,0.9382033488709782,0.6546240026621283,0.6338355282198204,0.20346324923017692
val,masc_c,JJbWyNwTcpw,25,22,38,0.03037222222222222,0.026605555555555556,0.026605555555555556,0.9901985263824463,0.7368421052631579,0.5799084979362467,0.8943043995648623,0.88,0.7004380781662651,0.27671007841361434,0.88,0.7004380781662651,0.9422514629736543,0.8855388985864651,0.6599888038746181,0.6202651642673748,0.40618999380675014
train,masc_c,N7xNOHO9rkM,19,17,29,0.016088888888888885,0.014461111111111109,0.014461111111111109,0.9839263558387756,0.896551724137931,0.7361455275293085,0.8844179017469287,0.8947368421052632,0.6860544950515831,0.2959521832993242,0.8947368421052632,0.6860544950515831,0.9341721287928522,0.8702020831044319,0.6408929881102426,0.5970060507170468,0.505035948173601
val,masc_c,XU8hHnrpb4Q,22,19,36,0.030416666666666665,0.02815,0.026783333333333336,0.9661139737476002,0.6111111111111112,0.4486417029674348,0.9067346424986185,0.9090909090909091,0.7218461934161421,0.2575663097869723,0.8636363636363636,0.6666458812053,0.9364243081231094,0.8760090085989499,0.6242634080707936,0.5839877974812282,0.3238503054947783
train,masc_c,G0_LEW-YLzw,11,10,19,0.01065,0.01065,0.009877777777777777,0.95898898081346,0.8421052631578947,0.6243407235682331,0.9585172750733115,1.0,0.7411599827511859,0.11444199876325221,0.9090909090909091,0.6226353745137962,0.9587531279433857,0.9192075047146498,0.5969536128833036,0.5723311089538982,0.46273635991069456
val,masc_c,zgPxPT5llDs,31,25,56,0.025016666666666663,0.02225,0.020672222222222224,0.979495890678898,0.8214285714285714,0.7015856902425105,0.9139359843346381,0.8709677419354839,0.7114724304561464,0.1907915268908732,0.8064516129032258,0.6371939644454012,0.946715937506768,0.8951965409993516,0.6032416814235821,0.5704138329171871,0.49915887621009203
train,masc_c,YhGgnGdmOn0,11,10,21,0.010094444444444444,0.010094444444444444,0.009516666666666666,0.944896324114366,0.5238095238095238,0.3236921790026675,0.9621319391510703,1.0,0.7411599827511859,0.04839147089882023,0.9090909090909091,0.6226353745137962,0.9535141316327181,0.9091149326168732,0.5936916284533347,0.5660471165459915,0.23990768980631083
train,masc_c,ywcL4F4t050,17,15,42,0.011716666666666665,0.010188888888888888,0.010188888888888888,0.9806052796980914,0.8333333333333334,0.6939570379522572,0.8753811700050446,0.8823529411764706,0.6566315750229009,0.30637375273636797,0.8823529411764706,0.6566315750229009,0.927993224851568,0.8584033970552393,0.6093496528448661,0.5636547746133903,0.45567410282881765
train,masc_c,j1aYKrjuiH0,19,16,39,0.017766666666666667,0.017766666666666667,0.014922222222222222,0.9090098362219962,0.5897435897435898,0.43418348473344903,0.9875658436825401,1.0,0.8318156346315495,0.019822149214060284,0.8421052631578947,0.6243407235682331,0.9482878399522681,0.8977070658243033,0.5920547161467559,0.560475079029061,0.3611606109000916
val,masc_c,6mBjw08qVYg,26,22,42,0.025355527777777775,0.02173886111111111,0.02173886111111111,0.9761589329976302,0.6190476190476191,0.46813768219996377,0.8555261324374721,0.8461538461538461,0.6646841558168644,0.31600316438601017,0.8461538461538461,0.6646841558168644,0.9158425327175512,0.8351294765917521,0.6087460207205445,0.5550973311461685,0.31116370009914646
val,qasr,E28D7397-1991-4847-8DDA-8452500CDB69,115,86,502,0.13549177777777782,0.12273900000000001,0.0996806666666667,0.923533891076627,0.25298804780876494,0.21693296794694122,0.899833708961808,0.9304347826086956,0.8687098549854324,0.2488695456854238,0.7478260869565218,0.6613282654375594,0.9116838000192176,0.8310269265594117,0.6029222660942319,0.5495815958734418,0.18845180712674678
val,masc_c,YpmcfdBo9QM,27,22,31,0.03348333333333333,0.030549999999999994,0.02810555555555555,0.9605841173066033,0.9032258064516129,0.7509971000182296,0.8949456978847997,0.8888888888888888,0.7194181745602704,0.2745378970995424,0.8148148148148148,0.6330094349480825,0.9277649075957015,0.8596706232400124,0.5872839399218149,0.5441796154586261,0.5402809627951716
val,qasr,60645756-8728-4C8F-9BD8-65E139BFE7D3,280,205,427,0.34521113888888866,0.2951889166666667,0.2548555833333333,0.9413471543363162,0.7400468384074942,0.6964345936247087,0.8531178092912471,0.8607142857142858,0.8152564424799744,0.2998986259110193,0.7321428571428571,0.6773862301479873,0.8972324818137817,0.8030800220899476,0.6077729284221601,0.5439953486706719,0.5677727892184667
train,masc_c,EVo_ZOfSxmM,10,9,21,0.008944444444444444,0.008944444444444444,0.008188888888888888,0.9252869606018066,0.6190476190476191,0.40878295815501514,0.9668639540672302,1.0,0.7224598312333834,0.05424498680326631,0.9,0.5958436145024277,0.9460754573345185,0.8946266093743123,0.5637130200902368,0.5330575525596417,0.2953292669597555
val,masc_c,4hD_JLhgGH8,23,19,68,0.016555583333333332,0.014805583333333332,0.013555583333333333,0.9338718108508898,0.45588235294117646,0.34304690695364476,0.9009037395615292,0.9130434782608695,0.7320359570190598,0.2496622841187369,0.8260869565217391,0.6286194521470434,0.9173877752062095,0.8413286066666638,0.5766878006565225,0.5288755277984335,0.25112267083423967
val,qasr,685676B5-AABD-4A50-A9AF-3442E09F4176,137,101,303,0.1873862777777778,0.16659736111111118,0.1399306944444445,0.9017912841191257,0.46534653465346537,0.40996724289018105,0.8759809205560082,0.8759124087591241,0.8102535920218157,0.30588780555688017,0.7372262773722628,0.6577770435397968,0.8888861023375669,0.7899519592120564,0.5846888724392181,0.5196122642689767,0.3321774311630494
train,masc_c,Vzxr3Qdz9-Y,5,5,13,0.004405555555555556,0.004405555555555556,0.004405555555555556,0.9342090368270874,0.5384615384615384,0.29143432431832045,0.9823309779167175,1.0,0.565508505247919,0.018681500902144314,1.0,0.565508505247919,0.9582700073719025,0.9177024767249876,0.5419098394927968,0.5189685558750609,0.16480858912319063
val,masc_c,wbcs4ggCD0Q,30,24,39,0.04057772222222221,0.03369994444444444,0.03241108333333333,0.9582765400409698,0.7948717948717948,0.6446572703687137,0.8526026089054842,0.8333333333333334,0.6643529481431982,0.30475892503212754,0.8,0.6269395261897257,0.9054395744732271,0.8170290780918517,0.5676558578136719,0.5122278231021339,0.42827995811140174
val,qasr,90034D30-C253-46AC-97C2-82D878ABBE09,204,144,505,0.24943349999999986,0.22601124999999989,0.18332230555555545,0.9235151883433846,0.44356435643564357,0.40082145594794527,0.8665600692794553,0.8872549019607843,0.8365060297109271,0.2965411508455496,0.7058823529411765,0.6400137272462615,0.8950376288114199,0.8002813855914725,0.5728363688412528,0.512191072438201,0.335289564737969
train,masc_c,IEgg3A2Oztg,18,15,37,0.013222277777777777,0.011177833333333333,0.011177833333333333,0.9762930108441247,0.8108108108108109,0.6579498842904441,0.8623970115246872,0.8333333333333334,0.6077750036164077,0.28281074987435506,0.8333333333333334,0.6077750036164077,0.9193450111844059,0.8419521749244121,0.5587549174973286,0.5117174861595268,0.39988549330403966
val,masc_c,xnXsxRVOtQU,43,33,63,0.05553333333333333,0.050883333333333336,0.041705555555555544,0.9319869765015536,0.7142857142857143,0.5929704958526203,0.8696173203372678,0.9069767441860465,0.7839701160146731,0.28174426922490625,0.7674418604651163,0.6225519170056059,0.9008021484194106,0.8104720170945132,0.5607961043412724,0.5045609079215894,0.464871148426857
val,masc_c,dEofWxaL7e8,21,17,34,0.024838888888888893,0.02008333333333333,0.02008333333333333,0.9923087159792582,0.6764705882352942,0.5084258404811939,0.8410119790406454,0.8095238095238095,0.599990134607267,0.2964628226974606,0.8095238095238095,0.599990134607267,0.9166603475099517,0.8345435170449976,0.5499871652916402,0.5007178771274502,0.3050504884681244
val,masc_c,DRZnGvIoxaE,24,18,35,0.027299999999999998,0.02652777777777778,0.022183333333333336,0.9811752339204153,0.8,0.6410806339053748,0.9070407872398695,0.9583333333333334,0.7975777375115778,0.18226690477819835,0.75,0.5510017468789357,0.9441080105801424,0.8899659565954365,0.5202051630720551,0.49037279674686857,0.511311641552737
val,masc_c,JK9YoPhBFoA,21,17,33,0.029708305555555554,0.024368583333333332,0.024368583333333332,0.9899021273567563,0.6666666666666666,0.49607581799949974,0.8182803986904522,0.8095238095238095,0.599990134607267,0.34892017804612796,0.8095238095238095,0.599990134607267,0.9040912630236042,0.8100175074380134,0.5424458385987864,0.4860025133219766,0.29764059681692995
train,masc_c,uR_Ii6B1_To,16,13,22,0.014899999999999997,0.013205555555555555,0.01255,0.9588021710515022,0.8636363636363636,0.6666458812053,0.8734372351318598,0.875,0.6397666856325172,0.30840237883206867,0.8125,0.5699064013154177,0.916119703091681,0.8374535173216486,0.5221024831631289,0.4772701203257196,0.42649782590928353
val,qasr,1E324127-7424-4410-835E-F6B8D4604FCF,130,90,355,0.16040288888888893,0.14087788888888894,0.11128066666666671,0.9328883340725532,0.39436619718309857,0.34491830887243535,0.8394185416803409,0.8615384615384616,0.7917339909033763,0.2992351278308367,0.6923076923076923,0.6084002887555983,0.8861534378764471,0.7830837649377853,0.5391360074857965,0.4764283887079696,0.2730835492192167
train,masc_c,LdX2rcnMZGY,12,10,30,0.008666666666666666,0.007977777777777776,0.007372222222222221,0.9619791309038798,0.9333333333333333,0.7867618227892791,0.8931261391068498,0.9166666666666666,0.6461140782014047,0.26736906257557336,0.8333333333333334,0.5519636426153274,0.9275526350053648,0.8591687070855449,0.5119753311350064,0.47422988918403863,0.508337889895552
